id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_bayi,satuan,tahun
25,32,JAWA BARAT,3277,KOTA CIMAHI,42,ORANG,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,83,ORANG,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,1,ORANG,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,3120,ORANG,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2546,ORANG,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1808,ORANG,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,611,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,195,ORANG,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1200,ORANG,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,212,ORANG,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,299,ORANG,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,1853,ORANG,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,333,ORANG,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,578,ORANG,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,585,ORANG,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,504,ORANG,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,476,ORANG,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,501,ORANG,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,294,ORANG,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,452,ORANG,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69,ORANG,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,381,ORANG,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,115,ORANG,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,224,ORANG,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,216,ORANG,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,586,ORANG,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,389,ORANG,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,193,ORANG,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,463,ORANG,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,87,ORANG,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,79,ORANG,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,63,ORANG,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,182,ORANG,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,78,ORANG,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,30,ORANG,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,106,ORANG,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,306,ORANG,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,11,ORANG,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,51,ORANG,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,47,ORANG,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,5,ORANG,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,72,ORANG,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,147,ORANG,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,17,ORANG,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,54,ORANG,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,65,ORANG,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,15,ORANG,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,648,ORANG,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,37,ORANG,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,209,ORANG,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,76,ORANG,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,31,ORANG,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2018
