id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_kesehatan,satuan,tahun
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,78.06,POIN,2015
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,80.99,POIN,2015
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,79.04,POIN,2015
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,75.47,POIN,2015
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.86,POIN,2015
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,77.83,POIN,2015
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,79.26,POIN,2015
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.33,POIN,2015
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.31,POIN,2015
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,81.82,POIN,2015
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.64,POIN,2015
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,77.3,POIN,2015
154,32,JAWA BARAT,3271,KOTA BOGOR,81.35,POIN,2015
155,32,JAWA BARAT,3272,KOTA SUKABUMI,79.79,POIN,2015
156,32,JAWA BARAT,3273,KOTA BANDUNG,82.79,POIN,2015
157,32,JAWA BARAT,3274,KOTA CIREBON,79.68,POIN,2015
158,32,JAWA BARAT,3275,KOTA BEKASI,83.82,POIN,2015
159,32,JAWA BARAT,3276,KOTA DEPOK,83.05,POIN,2015
160,32,JAWA BARAT,3277,KOTA CIMAHI,82.44,POIN,2015
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,78.87,POIN,2015
162,32,JAWA BARAT,3279,KOTA BANJAR,77.32,POIN,2015
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,77.92,POIN,2016
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,77.14,POIN,2016
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,75.98,POIN,2016
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.69,POIN,2016
167,32,JAWA BARAT,3205,KABUPATEN GARUT,78.09,POIN,2016
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,74.68,POIN,2016
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,78.31,POIN,2016
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,81.17,POIN,2016
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,79.12,POIN,2016
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,75.72,POIN,2016
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79.94,POIN,2016
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,78.03,POIN,2016
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,79.4,POIN,2016
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.45,POIN,2016
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.38,POIN,2016
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,81.91,POIN,2016
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.72,POIN,2016
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,77.54,POIN,2016
181,32,JAWA BARAT,3271,KOTA BOGOR,81.46,POIN,2016
182,32,JAWA BARAT,3272,KOTA SUKABUMI,79.85,POIN,2016
183,32,JAWA BARAT,3273,KOTA BANDUNG,82.83,POIN,2016
184,32,JAWA BARAT,3274,KOTA CIREBON,79.74,POIN,2016
185,32,JAWA BARAT,3275,KOTA BEKASI,83.92,POIN,2016
186,32,JAWA BARAT,3276,KOTA DEPOK,83.09,POIN,2016
187,32,JAWA BARAT,3277,KOTA CIMAHI,82.45,POIN,2016
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,79.03,POIN,2016
189,32,JAWA BARAT,3279,KOTA BANJAR,77.43,POIN,2016
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,78.0,POIN,2017
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,77.32,POIN,2017
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,76.14,POIN,2017
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,81.74,POIN,2017
194,32,JAWA BARAT,3205,KABUPATEN GARUT,78.22,POIN,2017
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,74.94,POIN,2017
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,78.57,POIN,2017
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,81.35,POIN,2017
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,79.22,POIN,2017
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,75.98,POIN,2017
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,80.0,POIN,2017
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,78.25,POIN,2017
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,79.55,POIN,2017
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,77.57,POIN,2017
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,79.45,POIN,2017
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,82.0,POIN,2017
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,79.8,POIN,2017
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,77.78,POIN,2017
208,32,JAWA BARAT,3271,KOTA BOGOR,81.55,POIN,2017
209,32,JAWA BARAT,3272,KOTA SUKABUMI,79.92,POIN,2017
210,32,JAWA BARAT,3273,KOTA BANDUNG,82.86,POIN,2017
211,32,JAWA BARAT,3274,KOTA CIREBON,79.78,POIN,2017
