,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jml_kelompok_pendidikan
117,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PERGURUAN TINGGI,0
118,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,TK,0
119,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,PAUD,0
121,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,TIDAK SEKOLAH,1
122,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SD,6
123,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SLTP,3
124,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,SLTA,1
125,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PERGURUAN TINGGI,0
126,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,TK,0
127,2018,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,PAUD,0
128,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SLTP,1
129,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SLTA,0
130,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PERGURUAN TINGGI,0
131,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,TK,0
132,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,PAUD,0
134,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,TIDAK SEKOLAH,1
135,2018,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,SD,0
137,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,TIDAK SEKOLAH,0
138,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SD,5
139,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SLTP,6
140,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,SLTA,2
141,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PERGURUAN TINGGI,0
142,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,TK,1
143,2018,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,PAUD,0
145,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,TIDAK SEKOLAH,0
146,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SD,0
147,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SLTP,2
148,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,SLTA,1
149,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PERGURUAN TINGGI,0
150,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,TK,0
151,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,PAUD,0
153,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,TIDAK SEKOLAH,0
154,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SD,0
155,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SLTP,7
156,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,SLTA,1
157,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PERGURUAN TINGGI,0
158,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,TK,0
159,2018,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,PAUD,0
161,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,TIDAK SEKOLAH,0
162,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SD,1
163,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SLTP,0
164,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,SLTA,0
165,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PERGURUAN TINGGI,0
166,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,TK,0
167,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,PAUD,0
169,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,TIDAK SEKOLAH,0
170,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SD,0
171,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SLTP,0
172,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,SLTA,2
173,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,PERGURUAN TINGGI,1
174,2018,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,TK,0
